EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4408.21,4536.41,3868.72,4675.38,4372.82,4085.64,4369.23,4221.54,4911.28,4460.51,4499.49,4744.62,4423.59,4618.46
4413.33,4542.56,3881.54,4681.54,4374.87,4081.03,4363.59,4215.90,4900.51,4455.38,4490.26,4748.21,4422.05,4618.46
4405.13,4536.92,3883.08,4679.49,4368.72,4080.00,4362.05,4202.56,4888.21,4442.05,4480.00,4735.90,4409.74,4609.23
4389.23,4523.59,3868.21,4669.74,4360.00,4076.92,4374.87,4185.13,4872.82,4431.79,4468.21,4719.49,4395.90,4596.92
4383.08,4511.28,3862.56,4662.05,4354.36,4075.38,4391.79,4178.46,4863.59,4439.49,4458.97,4713.33,4386.67,4588.72
4381.03,4505.64,3866.15,4658.46,4357.44,4083.08,4401.54,4178.97,4858.97,4433.33,4458.97,4710.77,4383.08,4582.56
4373.85,4502.56,3863.08,4651.28,4364.10,4092.31,4402.56,4181.03,4856.41,4412.31,4457.44,4706.15,4378.46,4570.77
4370.77,4497.95,3858.46,4646.15,4367.69,4093.85,4398.97,4186.67,4863.59,4411.79,4455.38,4707.69,4376.41,4568.21
4382.05,4507.18,3869.74,4655.38,4366.15,4091.28,4393.85,4200.00,4878.46,4425.13,4471.28,4718.97,4387.18,4581.54
4395.90,4521.03,3891.28,4669.74,4363.08,4087.18,4387.69,4220.51,4900.00,4450.77,4492.82,4732.31,4408.21,4597.44
4397.95,4523.08,3898.97,4672.31,4369.74,4086.15,4379.49,4231.79,4914.36,4481.03,4493.85,4736.41,4417.95,4601.54
4397.95,4528.72,3895.38,4669.74,4374.87,4088.21,4374.36,4227.69,4913.33,4482.56,4490.26,4733.85,4414.87,4602.05
4398.46,4535.90,3901.54,4672.31,4373.33,4084.62,4365.13,4220.00,4907.69,4458.46,4493.85,4733.85,4416.92,4606.15
4391.79,4527.69,3908.72,4672.82,4372.82,4076.41,4358.46,4213.33,4902.56,4445.64,4486.67,4729.23,4416.92,4599.49
4391.79,4521.54,3908.72,4671.79,4371.28,4074.87,4362.05,4205.64,4894.87,4442.56,4474.36,4720.00,4402.05,4587.18
4396.41,4525.64,3908.72,4673.85,4364.62,4076.41,4363.08,4194.87,4881.54,4418.46,4468.21,4716.92,4393.85,4583.08
4387.18,4519.49,3909.74,4671.28,4357.95,4073.85,4367.18,4183.59,4865.64,4398.46,4461.03,4715.38,4393.85,4585.64
